Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"İstanbul, İstanbul, Turkey",46.0,17,23,"2,411",9.0,132,Datasets Grandmaster
"New Delhi, Delhi, India",8.0,11,32,433,82.0,135,Notebooks Master
"Akola, Maharashtra, India",2.0,9,11,208,112.0,133,Datasets Expert
"Kasaragod, Kerala, India",5.0,15,66,125,11.0,137,Datasets Master
,,9,13,45,135.0,136,Datasets Expert
"Los Angeles, California, United States",13.0,11,11,261,31.0,138,Datasets Master
"Mumbai, Maharashtra, India",2.0,11,13,155,72.0,139,Datasets Expert
"Bahawalpur, Punjab, Pakistan",,3,11,94,132.0,140,Notebooks Master
"Chennai, Tamil Nadu, India",13.0,40,46,100,89.0,141,Datasets Expert
"Dhaka, Dhaka Division, Bangladesh",31.0,69,41,940,92.0,142,Notebooks Master
"Istanbul, Istanbul, Turkey",15.0,15,64,680,106.0,143,Discussion Master
"Hyderabad, Telangana, India",9.0,21,52,281,29.0,145,Notebooks Grandmaster
"Ernakulam, Kerala, India",,6,8,134,97.0,148,Datasets Expert
"İstanbul, İstanbul, Turkey",3.0,23,30,16,135.0,146,Datasets Expert
"Bhopal, Madhya Pradesh, India",11.0,19,9,444,101.0,147,Datasets Expert
,10.0,10,12,250,136.0,151,Datasets Expert
"Philadelphia, Pennsylvania, United States",16.0,14,13,196,99.0,152,Datasets Expert
"New Delhi, Delhi, India",2.0,33,1,204,44.0,150,Datasets Expert
"New Delhi, Delhi, India",6.0,8,15,"1,012",109.0,154,Notebooks Grandmaster
"Shiraz, Fars Province, Iran",,15,26,95,,131,Datasets Expert
"New Delhi, Delhi, India",,7,10,293,,144,Datasets Expert
"Tehran, Tehran Province, Iran",2.0,12,19,139,144.0,156,Datasets Expert
"Manila, Metro Manila, Philippines",1.0,11,16,121,150.0,155,Notebooks Master
"Paris, Île-de-France, France",5.0,82,412,599,155.0,157,Datasets Expert
"Chicago, Illinois, United States",13.0,18,11,99,45.0,158,Datasets Expert
"Berlin, Berlin, Germany",26.0,6,22,222,75.0,160,Competitions Master
"Dubai, Dubai, United Arab Emirates",2.0,7,15,"2,815",83.0,161,Notebooks Grandmaster
"Gurugram, Haryana, India",9.0,25,43,908,15.0,163,Notebooks Grandmaster
"Taunsa, Punjab, Pakistan",,7,,125,130.0,162,Datasets Expert
"Hamedan, Hamadan Province, Iran",,7,8,86,,149,Datasets Expert
"Patiala, Punjab, India",,3,31,270,82.0,164,Datasets Expert
"Berlin, Berlin, Germany",,10,12,56,36.0,165,Datasets Expert
"Bengaluru, Karnataka, India",,7,7,102,41.0,166,Datasets Master
,1.0,23,7,8,127.0,167,Datasets Expert
,,8,13,370,151.0,153,Notebooks Master
"Bengaluru, Karnataka, India",9.0,19,18,"1,020",40.0,159,Notebooks Master
"Nantes, Pays de la Loire, France",10.0,15,30,207,62.0,168,Notebooks Master
"Gurugram, Haryana, India",11.0,14,26,263,118.0,173,Notebooks Master
"Delhi, Delhi, India",9.0,15,23,14,136.0,169,Datasets Expert
"San Francisco, California, United States",,12,13,48,111.0,171,Datasets Expert
"Saint Petersburg, Russia",22.0,12,25,432,116.0,172,Notebooks Grandmaster
"Lexington, South Carolina, United States",59.0,4,6,23,72.0,174,Datasets Expert
"Manchester, England, United Kingdom",21.0,17,23,154,134.0,170,Competitions Expert
"Bengaluru, Karnataka, India",9.0,11,13,190,169.0,176,Notebooks Master
"Yazd, Yazd Province, Iran",,5,16,"1,234",67.0,175,Notebooks Grandmaster
"Charlotte, North Carolina, United States",,14,33,10,151.0,177,Datasets Expert
"Aydın, Aydın, Turkey",25.0,6,17,248,98.0,179,Notebooks Master
"Valencia, Valencian Community, Spain",,8,9,69,58.0,180,Datasets Expert
,2.0,9,9,116,28.0,178,Datasets Expert
Singapore,67.0,18,30,"5,754",166.0,181,Discussion Grandmaster
"Santa Clarita, California, United States",2.0,949,6,146,2.0,185,Datasets Expert
"Ghaziabad, Uttar Pradesh, India",16.0,18,18,243,20.0,186,Datasets Master
"Baghdad, Baghdad Governorate, Iraq",1.0,6,8,117,43.0,182,Datasets Master
"Mandi, Himachal Pradesh, India",1.0,9,16,260,184.0,187,Datasets Expert
"Chandigarh, Chandigarh, India",5.0,12,3,130,169.0,188,Datasets Expert
"Campinas, State of São Paulo, Brazil",,11,51,124,67.0,184,Notebooks Master
"Noida, Uttar Pradesh, India",,15,8,1,133.0,183,Datasets Expert
"Shahrbabak, Kerman Province, Iran",1.0,17,40,"1,624",116.0,191,Notebooks Master
"Gurugram, Haryana, India",1.0,21,21,9,30.0,189,Datasets Expert
"Pune, Maharashtra, India",19.0,5,46,897,179.0,190,Notebooks Master
"Colombo, Western Province, Sri Lanka",4.0,15,17,137,68.0,193,Datasets Expert
"Fukuoka, Fukuoka, Japan",43.0,71,56,130,83.0,192,Competitions Grandmaster
"Chennai, Tamil Nadu, India",14.0,19,24,309,167.0,194,Notebooks Master
"Bengaluru, Karnataka, India",2.0,6,13,88,158.0,195,Datasets Expert
"Thane, Maharashtra, India",5.0,6,9,327,147.0,196,Datasets Expert
"Tangier, Tangier-Tétouan-Al Hoceima, Morocco",,10,19,"2,302",137.0,197,Datasets Expert
"Warangal, Telangana, India",4.0,6,15,106,193.0,198,Datasets Expert
"Buffalo, Minnesota, United States",,20,22,67,114.0,206,Datasets Expert
"Chandannagar, West Bengal, India",5.0,5,15,658,161.0,199,Notebooks Master
"Tokyo, Tokyo, Japan",44.0,10,29,290,51.0,200,Competitions Grandmaster
"Abu Dhabi, Abu Dhabi, United Arab Emirates",22.0,13,5,21,172.0,201,Competitions Master
"Aracaju, State of Sergipe, Brazil",,18,6,107,23.0,207,Datasets Master
"Rio Grande, State of Rio Grande do Sul, Brazil",3.0,6,10,365,8.0,202,Datasets Grandmaster
"Madrid, Community of Madrid, Spain",37.0,14,154,"2,025",106.0,203,Notebooks Grandmaster
"Mumbai, Maharashtra, India",3.0,20,29,318,171.0,209,Datasets Expert
"Jaipur, Rajasthan, India",,28,13,179,22.0,204,Notebooks Master
"Delhi, Delhi, India",1.0,9,9,177,91.0,208,Datasets Expert
"Cumilla, Chittagong Division, Bangladesh",29.0,29,56,456,160.0,219,Datasets Expert
"Bengaluru, Karnataka, India",,22,18,174,170.0,210,Datasets Expert
"Charlotte, North Carolina, United States",22.0,13,31,264,34.0,205,Notebooks Master
"Thiruvananthapuram, Kerala, India",,8,2,100,150.0,221,Datasets Expert
"Halifax, Nova Scotia, Canada",1.0,17,20,23,116.0,211,Datasets Expert
"Toronto, Ontario, Canada",,4,6,124,,212,Datasets Expert
"San Francisco, California, United States",,3,1,58,157.0,213,Datasets Expert
"Singapore, Singapore",13.0,8,24,60,73.0,214,Datasets Expert
"Guelph, Ontario, Canada",7.0,7,25,36,25.0,215,Datasets Expert
"Dubai, Dubai, United Arab Emirates",17.0,38,31,266,14.0,216,Notebooks Grandmaster
"Menlo Park, California, United States",54.0,374,18,237,109.0,217,Competitions Grandmaster
"Hamburg, Hamburg, Germany",55.0,8,8,93,114.0,223,Competitions Master
"Cairo, Cairo Governorate, Egypt",3.0,8,22,1,198.0,220,Datasets Expert
"Gurugram, Haryana, India",,15,30,145,147.0,222,Datasets Expert
"Lausanne, Vaud, Switzerland",8.0,7,14,127,66.0,218,Competitions Expert
"Santa Clara, California, United States",3.0,15,11,292,131.0,224,Datasets Expert
,,15,14,479,213.0,231,Datasets Expert
"Gomel, Gomel Region, Belarus",,12,16,75,151.0,226,Datasets Expert
"Selangor, Malaysia",21.0,4,17,345,211.0,233,Notebooks Master
"Chennai, Tamil Nadu, India",5.0,8,15,266,226.0,227,Datasets Expert
,3.0,10,19,448,77.0,228,Notebooks Master
"Kyiv, Ukraine",28.0,32,21,26,32.0,237,Competitions Expert
"Honolulu, Hawaii, United States",2.0,5,10,41,142.0,229,Datasets Expert
"Moscow, Russia",9.0,36,17,145,166.0,230,Notebooks Master
"Pune, Maharashtra, India",10.0,8,13,71,,225,Datasets Expert
"Raipur, Chhattisgarh, India",,7,7,45,181.0,232,Datasets Expert
"Singapore, Singapore",,31,20,52,104.0,234,Datasets Expert
"Shibuya City, Tokyo, Japan",34.0,119,39,365,28.0,235,Competitions Master
,2.0,41,246,208,36.0,236,Datasets Expert
"Bengaluru, Karnataka, India",1.0,17,75,50,225.0,238,Datasets Expert
"San Francisco, California, United States",21.0,21,134,575,161.0,239,Datasets Expert
"İstanbul, İstanbul, Turkey",12.0,11,42,867,38.0,244,Notebooks Grandmaster
"Ankara, Ankara, Turkey",22.0,8,13,85,177.0,240,Datasets Expert
"Surat, Gujarat, India",5.0,7,25,211,55.0,242,Notebooks Master
"Mumbai, Maharashtra, India",,6,11,371,181.0,243,Notebooks Master
"Prague, Prague, Czechia",18.0,12,66,197,240.0,241,Notebooks Master
"Lagos, Lagos, Nigeria",,4,3,39,74.0,245,Datasets Expert
"Kuwait City, Al Asimah Governate, Kuwait",2.0,8,,106,116.0,246,Datasets Expert
"Paris, Île-de-France, France",1.0,4,7,191,225.0,248,Datasets Expert
"Tel Aviv-Yafo, Tel Aviv District, Israel",1.0,21,53,437,42.0,249,Notebooks Master
"Dhaka, Dhaka Division, Bangladesh",50.0,41,32,"2,165",35.0,250,Notebooks Grandmaster
"Mandalay, Mandalay Region, Myanmar (Burma)",,5,6,7,119.0,251,Datasets Expert
"Budapest, Hungary",,6,5,246,22.0,252,Datasets Master
"Delhi, Delhi, India",7.0,10,7,8,181.0,253,Datasets Expert
"Bengaluru, Karnataka, India",,44,,2,202.0,254,Datasets Expert
"Vinnytsia, Vinnytsia Oblast, Ukraine",33.0,9,35,412,63.0,256,Notebooks Grandmaster
"San Francisco, California, United States",10.0,9,6,324,229.0,257,Datasets Expert
"Bhubaneswar, Odisha, India",,3,3,427,254.0,255,Datasets Expert
"Bengaluru, Karnataka, India",27.0,23,46,200,52.0,258,Competitions Expert
"Bengaluru, Karnataka, India",1.0,22,39,34,156.0,259,Datasets Expert
"Seoul, Seoul, South Korea",2.0,8,39,214,251.0,262,Datasets Expert
"Saint Petersburg, Russia",24.0,15,17,168,61.0,264,Competitions Expert
"Nagpur, Maharashtra, India",,5,29,37,216.0,267,Datasets Expert
,6.0,21,30,158,260.0,261,Datasets Expert
"Paris, Île-de-France, France",48.0,44,43,423,54.0,270,Competitions Master
"Ottawa, Ontario, Canada",3.0,6,12,6,237.0,265,Datasets Expert
"Warsaw, Masovian Voivodeship, Poland",21.0,15,41,"1,824",115.0,266,Notebooks Grandmaster
"Surat, Gujarat, India",1.0,10,12,23,125.0,273,Datasets Expert
"Ahmedabad, Gujarat, India",3.0,10,29,123,241.0,263,Datasets Expert
,,20,16,647,240.0,269,Notebooks Master
"Dhaka, Dhaka Division, Bangladesh",13.0,21,73,810,44.0,271,Notebooks Master
"Pune, Maharashtra, India",4.0,23,24,62,115.0,272,Datasets Expert
"Petaling Jaya, Selangor, Malaysia",6.0,44,78,537,136.0,275,Notebooks Master
"Baton Rouge, Louisiana, United States",4.0,14,,2,215.0,276,Datasets Expert
"Kulmbach, Bavaria, Germany",,30,32,978,153.0,268,Notebooks Master
"Antalya, Antalya, Turkey",21.0,9,37,988,259.0,261,Notebooks Grandmaster
"Franca, State of São Paulo, Brazil",15.0,46,37,337,117.0,281,Notebooks Master
"Chicago, Illinois, United States",2.0,5,15,103,180.0,274,Datasets Expert
,31.0,18,35,"1,395",225.0,279,Discussion Grandmaster
"Thiruvananthapuram, Kerala, India",,5,2,58,194.0,280,Datasets Expert
"Tallinn, Harju County, Estonia",13.0,8,2,81,219.0,277,Competitions Expert
"Barcelona, Catalonia, Spain",,6,2,2,183.0,283,Datasets Expert
"Abadan, Khuzestan Province, Iran",,21,29,232,254.0,284,Datasets Expert
"Rostock, Mecklenburg-Vorpommern, Germany",15.0,4,,111,244.0,285,Datasets Expert
"London, England, United Kingdom",21.0,5,24,689,271.0,302,Notebooks Grandmaster
"Bengaluru, Karnataka, India",95.0,20,55,740,155.0,282,Discussion Grandmaster
"Bengaluru, Karnataka, India",,8,27,480,25.0,286,Datasets Master
