Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined
Edward Zhang,110,master,https://www.kaggle.com/sshikamaru,1,6,5,140,4 years ago
Mehmet Akturk,111,master,https://www.kaggle.com/mathchi,2,9,2,140,3 years ago
Yasir Raza,112,expert,https://www.kaggle.com/yasirabdaali,0,1,11,140,8 months ago
Bulent Siyah,113,master,https://www.kaggle.com/bulentsiyah,1,5,13,138,5 years ago
Ahmed Shahriar Sakib,114,expert,https://www.kaggle.com/ahmedshahriarsakib,0,7,1,137,3 years ago
Victor Soeiro,115,expert,https://www.kaggle.com/victorsoeiro,1,0,12,136,3 years ago
Jonathan Bown,116,expert,https://www.kaggle.com/jonbown,0,2,9,133,5 years ago
Anurag Bantu,117,master,https://www.kaggle.com/anuragbantu,1,4,0,133,3 years ago
Engr Shabir,118,expert,https://www.kaggle.com/engrshabir,0,4,3,132,4 months ago
Kash,119,master,https://www.kaggle.com/kaushiksuresh147,1,4,14,131,5 years ago
Subham Surana,120,master,https://www.kaggle.com/subhamjain,2,4,4,130,2 years ago
Jillani Soft Tech,121,expert,https://www.kaggle.com/jillanisofttech,0,3,14,130,2 years ago
Rishabh Misra,122,expert,https://www.kaggle.com/rmisra,2,1,2,128,8 years ago
Aleksey Bilogur,123,master,https://www.kaggle.com/residentmario,3,4,18,128,6 years ago
dataista0 (Julián Peller),124,expert,https://www.kaggle.com/julian3833,1,2,8,128,5 years ago
Vitalii Mokin,125,master,https://www.kaggle.com/vbmokin,1,9,9,127,5 years ago
Ashfak Yeafi,126,expert,https://www.kaggle.com/ashfakyeafi,0,5,1,125,2 years ago
Zohreh Tofighizavareh,127,expert,https://www.kaggle.com/zohrehtofighizavareh,0,4,2,124,5 months ago
Arjun Prasad Sarkhel,128,expert,https://www.kaggle.com/arjunprasadsarkhel,1,0,5,123,3 years ago
Mario Caesar,129,master,https://www.kaggle.com/caesarmario,1,4,0,122,3 years ago
Yury Kashnitsky,130,expert,https://www.kaggle.com/kashnitsky,2,0,5,121,9 years ago
Rohan Ambad,131,expert,https://www.kaggle.com/rohanambad,0,3,3,119,4 months ago
Firat Gonen,132,grandmaster,https://www.kaggle.com/frtgnn,5,6,1,118,4 years ago
Arsh Anwar,133,expert,https://www.kaggle.com/d4rklucif3r,0,6,4,118,2 years ago
Gaurav Topre,134,expert,https://www.kaggle.com/gauravtopre,0,3,6,118,2 years ago
Devakumar K. P.,135,master,https://www.kaggle.com/imdevskp,2,5,4,117,5 years ago
khadije abedi,136,expert,https://www.kaggle.com/abedi756,0,1,8,117,9 months ago
S H I N I G A M I,137,master,https://www.kaggle.com/gargmanas,2,3,5,116,3 years ago
Sanjeet Singh Naik,138,expert,https://www.kaggle.com/sanjeetsinghnaik,0,3,8,113,a year ago
Chaudhary Mubashir Hussain,139,expert,https://www.kaggle.com/ourfuture,0,3,0,112,3 years ago
Shashwat Tiwari,140,expert,https://www.kaggle.com/shashwatwork,0,2,15,111,5 years ago
M.Innat,141,expert,https://www.kaggle.com/ipythonx,0,4,8,111,4 years ago
Berkay Alan,142,expert,https://www.kaggle.com/berkayalan,0,3,11,111,3 years ago
Parul Pandey,143,master,https://www.kaggle.com/parulpandey,2,5,10,110,7 years ago
Sandra Grace Nelson,144,expert,https://www.kaggle.com/sandragracenelson,0,3,2,110,a year ago
EMİRHAN BULUT,145,expert,https://www.kaggle.com/emirhanai,0,0,15,109,a year ago
Durgesh Rao,146,expert,https://www.kaggle.com/durgeshrao9993,0,1,17,109,a year ago
moth,147,expert,https://www.kaggle.com/alejopaullier,0,3,5,108,4 years ago
Alan Jo,148,expert,https://www.kaggle.com/alanjo,0,0,13,108,10 months ago
Arpit Verma,149,expert,https://www.kaggle.com/varpit94,0,0,29,107,5 years ago
Robin S.,150,expert,https://www.kaggle.com/heyrobin,0,5,3,107,2 years ago
Ashkan Forootan,151,expert,https://www.kaggle.com/ashkanforootan,0,0,11,107,5 months ago
