,Title,Total Views,Upload Time,Duration,Subtitles,Link
58,I Ordered Pizza And Tipped The House,96M views,2 years ago,13:02,CC,https://www.youtube.com/watch?v=sfv1QaRzJg8
59,"Offering People $100,000 To Quit Their Job",96M views,1 year ago,10:27,CC,https://www.youtube.com/watch?v=DuQbOQwVaNE
60,"Last To Take Hand Off $1,000,000 Keeps It",96M views,2 years ago,15:25,CC,https://www.youtube.com/watch?v=yeqARWqjkps
61,I Built The World's Largest Lego Tower,96M views,2 years ago,13:56,CC,https://www.youtube.com/watch?v=59AYXzCa-Cs
62,"Last To Fall Wins $1,000,000 (Part 1)",96M views,2 years ago,16:57,CC,https://www.youtube.com/watch?v=tQ4m4zD7BBA
63,I Bought Everything In 5 Stores,95M views,1 year ago,14:14,CC,https://www.youtube.com/watch?v=5Fg9oZk-5uA
64,Surprising TFue With A Fortnite Battle Bus In Real Life,95M views,3 years ago,14:25,,https://www.youtube.com/watch?v=e5DqdX-7_g4
65,Anything You Can Fit In The Triangle I’ll Pay For,95M views,1 year ago,16:08,CC,https://www.youtube.com/watch?v=E6E22XQPhhg
66,I Bought A Private Island,94M views,2 years ago,11:37,CC,https://www.youtube.com/watch?v=FbM1yi4mMMc
67,"Last To Leave VR Wins $20,000",94M views,3 years ago,14:18,,https://www.youtube.com/watch?v=RCvnytndd9c
68,"Last To Leave Roller Coaster Wins $20,000 - Challenge",94M views,3 years ago,15:17,CC,https://www.youtube.com/watch?v=gL6iSCSHjco
69,"I Donated $50,000 To Ninja - Fortnite",93M views,4 years ago,22:02,,https://www.youtube.com/watch?v=foLlul8Tl3E
70,Homeless Man Buys A Lamborghini,93M views,3 years ago,14:20,,https://www.youtube.com/watch?v=JTQcIR2ZxU4
71,"$60,000 Extreme Hide And Seek - Challenge",93M views,2 years ago,17:59,CC,https://www.youtube.com/watch?v=LdMx2U5tby0
72,"I Searched 100 Dumpsters, Here's What I Found",93M views,3 years ago,17:09,CC,https://www.youtube.com/watch?v=anFxsa5jXrE
73,"Last To Leave Slime Pit Wins $20,000 - Challenge",93M views,3 years ago,18:08,,https://www.youtube.com/watch?v=3ix_gbcubTo
74,I Spent 24 Hours Straight In Prison - Challenge,92M views,3 years ago,14:52,,https://www.youtube.com/watch?v=sESRuTyfsEk
75,Destroying My Friend's Car And Surprising Him With A New One - Slime,92M views,4 years ago,16:11,,https://www.youtube.com/watch?v=nd-bwvNB7YA
76,"Last To Stop Running Wins $20,000",92M views,3 years ago,14:58,,https://www.youtube.com/watch?v=AA-VpIj8F5Y
77,"Would You Swim With Sharks For $100,000?",92M views,6 months ago,9:01,CC,https://www.youtube.com/watch?v=LnlKwzc_TNA
78,I Broke Into A House,90M views,2 years ago,14:59,CC,https://www.youtube.com/watch?v=OAbP-V6fEVc
79,"If You Can Carry $1,000,000 You Keep It!",90M views,1 year ago,10:45,CC,https://www.youtube.com/watch?v=ktyJIj6i4Qw
80,I Put Millions Of Pennies In My Friends Backyard,89M views,3 years ago,14:41,,https://www.youtube.com/watch?v=Su34c5Z8DW4
81,I Spent 24 Hours Straight At Area 51,88M views,3 years ago,15:19,,https://www.youtube.com/watch?v=TOcGSwJBPMQ
82,I Got Hunted By The Military,87M views,10 months ago,11:02,CC,https://www.youtube.com/watch?v=QbJJwaVdgIs
